Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Kindergym,Tuesday March 10,,,9:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1921281
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407002
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Zumba®,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408517
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Aqua- General,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1878901
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Kindergym,Tuesday March 10,,,9:30 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1883806
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Aqua- General,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419017
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Preschool Swim,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1418876
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Cardio and Strength Older Adult,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1894256
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Aqua- General,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1894411
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Aqua- TMC,Tuesday March 10,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1997296
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Yoga,Tuesday March 10,,,9:45 am - 10:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1910211
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball,Tuesday March 10,,,9:45 am - 11:15 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1850076
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Aqua- General,Tuesday March 10,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1638611
J.A. Dulude Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/ja-dulude-arena,Skating 50+,Tuesday March 10,,,10:00 am - 10:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1426811
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,50+ Swim,Tuesday March 10,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1452281
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General Lite,Tuesday March 10,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2023766
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Tuesday March 10,,,10:00 am - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2026046
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Yoga,Tuesday March 10,,,10:00 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1891666
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Lane Swim,Tuesday March 10,,,10:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2018356
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Mahjong,Tuesday March 10,,,10:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2038551
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Kindergym,Tuesday March 10,,,10:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1982491
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Zumba®,Tuesday March 10,,,10:00 am - 10:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429020
Sawmill Creek Community Centre and Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/sawmill-creek-community-centre-and-pool,Preschool Swim,Tuesday March 10,,,10:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1863921
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,50+ Vitality,Tuesday March 10,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1672166
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Yoga,Tuesday March 10,,,10:10 am - 11:10 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2016486
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,TMC,Tuesday March 10,,,10:15 am - 11:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1885491
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Yoga,Tuesday March 10,,,10:15 am - 11:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413580
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Indoor Cycling- Interval,Tuesday March 10,,,10:20 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2015916
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Yoga,Tuesday March 10,,,10:20 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021216
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Yoga,Tuesday March 10,,,10:20 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1877656
W. Erskine Johnston Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/w-erskine-johnston-arena,Pick-up Hockey - Adults 50+,Tuesday March 10,,,10:30 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1841746
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Aqua- General,Tuesday March 10,,,10:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2017006
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Lane Swim,Tuesday March 10,,,10:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1989821
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Yoga,Tuesday March 10,,,10:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1372587
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Public Swim,Tuesday March 10,,,10:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1941656
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Lane Swim,Tuesday March 10,,,10:30 am - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1866821
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,Lane Swim,Tuesday March 10,,,10:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028581
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength Older Adult,Tuesday March 10,,,10:30 am - 11:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429148
Greenboro Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/greenboro-community-centre,Cardio and Strength Older Adult,Tuesday March 10,,,10:40 am - 11:40 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1920626
Pinecrest Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/pinecrest-recreation-complex,TMC,Tuesday March 10,,,10:45 am - 11:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1415498
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Lane Swim,Tuesday March 10,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1637186
Earl Armstrong Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/earl-armstrong-arena,Family Skating,Tuesday March 10,,,11:00 am - 11:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1427176
J.A. Dulude Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/ja-dulude-arena,Public Skating,Tuesday March 10,,,11:00 am - 11:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1426874
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Tuesday March 10,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1452701
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Public Swim,Tuesday March 10,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1934011
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Tuesday March 10,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028921
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Public Swim,Tuesday March 10,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1868606
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Zumba® Gold Older Adult,Tuesday March 10,,,11:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2041896
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga,Tuesday March 10,,,11:00 am - 11:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429400
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Lane Swim,Tuesday March 10,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1672461
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Yoga Older Adult,Tuesday March 10,,,11:25 am - 12:25 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2022231
W. Erskine Johnston Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/w-erskine-johnston-arena,Public Skating,Tuesday March 10,,,11:30 am - 12:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1471491
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Basketball (Adult),Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901271
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Lane Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1897511
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Preschool Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1898361
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2008481
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004196
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1990676
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1929896
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Basketball (Adult),Tuesday March 10,,,11:30 am - 12:50 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1884136
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball (Older Adult),Tuesday March 10,,,11:30 am - 1:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419531
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Public Swim,Tuesday March 10,,,11:30 am - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1905596
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Public Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998751
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Public Swim,Tuesday March 10,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1998751
